"Ticker","Date","MACD_Sell","EMA20_SMA50_Sell","EMA20_SMA20_Sell","SMA20_SMA50_Sell","RSI_Sell","Volume_Confirmed","Trend_Bearish","Momentum_Bearish","Volatility_High","BB_Expansion","Sell_Score"
"DRD",2024-06-25,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6
"R",2024-06-25,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,6
"EW",2024-06-25,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4
"ABCB",2024-06-25,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3
"HESM",2024-06-25,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1
"BLK",2024-06-25,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1
